Lexeme	Alibeglo1	Arkhit1	Arkhit2	Arkhit3	Arkhit4	Arkhit5	Arkhit6	Bezhta1	D_Agul	D_Arabic	D_Avar	D_Azerbaijani	D_Bezhta1	D_Botlikh	D_Chechen	D_Gagatli	D_Georgian	D_Hinuq	D_Karata	D_Kumyk	D_Lezgian	D_Russian	D_Rutul	D_Tabasaran	D_Tsez	Darvag1	Darvag2	Darvag3	Darvag4	Darvag5	Darvag6	Dyubek1	Dyubek2	Dyubek3	Dyubek4	Dzhavgat1	Dzhavgat2	Dzhavgat3	Dzhavgat4	Dzhibakhni1	Dzhibakhni2	Dzhibakhni3	Dzhibakhni4	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Ilisu1	Karata1	Karata2	Karata3	Karata4	Khapil1	Khapil2	Khapil3	Khapil4	Khapil5	Khiv1	Khiv2	Khiv3	Khiv4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Khoredzh1	Khoredzh2	Khoredzh3	Khoredzh4	Khoredzh5	Khoredzh6	Khutkhul1	Khutkhul2	Khutkhul3	Khutkhul4	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kurag1	Laka1	Laka2	Laka3	Laka4	Laka5	Laka6	Meshabash1	Meshabash2	Mikik1	Mikik2	Qax1	Qax2	Qax3	Qax4	Qax5	Qax6	Qax7	Qax8	Qax9	Qum1	Qum2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tatil1	Tatil2	Tatil3	Tatil4	Tatil5	Tpig1	Tsinit1	Tsinit2	Tsinit3	Tsinit4	Tsinit5	Tukita1	Yagdyg1	Yagdyg2	Yagdyg3	Yagdyg4	Yagdyg5	Yagdyg6	Yersi1	Yersi2	Yersi3	Yersi4	Zilo1	Zilo2	D_Persian	D_Archi	D_Bezhta2	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	D_Bagvalal	Kusur1
the clothing or clothes	1 1	33	3	3	13 3	33	3	7	21 23	2 8 12	30	3	7	29	14	31	1	27 30 34 34	20	4 25	16 2 3 26	24	15 15	3	34	3	3	3	3 3	3	3	3	3	3	17	3	3	3	3	3	3	3	3	3	22	3	15	15	19	15	4 3	28	28	28	28	23	3	23	3	17	3	23	23 33	3	26	26	26	3 26	26	23	23	3	23	3	3	23	23	23	23	15	15	34	34	34	15	15	15	21	23 3	3	3	3	3	3	1	1	3	3	3	4 3	4 3	10	10	1 1	3	3	3	32	NA	31	15	35	35	3	3	23	17	3	23	13 3	3	3	16	3	18	3	17 3	3	17	3	3	3	3	3	3	31	31	2 6 2 8 9 11	5	7	36	NA	36	36	36	NA
the cock/rooster	2	11	11	11	11	11	11	2	11	1	15	3	2	12	7 13	6	2	8	16	5	11	14	9	10	2	5	5	5	5 5	5	5	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	5	16	16	16	16	10	10	10	10	10	10	10	10	10	11	11	NA	11	11	10	10	10	10	10	10	10	11	11	11	9	9	2	2	2	9	9	9	10	10	10	10	10	10	10	2	2	9	9	5	4 5	5	2	2	2	5	4 5	5	9 5	5	6	9	15	15	10	10	10	10	10	11	11	11	11	11	11	16	10	10	10	10	10	10	5	5	5	5	15	15	NA	NA	NA	15	NA	15	15	12	15
the colour/color	3	5	5	5	9 5	5	5	11	5	1	11	12 5 15	11	11	NA	6	3	11	11	7 5 13	5	14	2 5	NA	11	10	5	5	5 5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	11	11	11	11	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	11	11	11	5	8	5	5	5	5	5	5	5	5	3	3	5	5	5	5	5	3	3	3	5	5	5	5	5	6	5	11	11	NA	5	5	5	5	5	5	5	5	9 5	5	11	5	5	5	5	5	5	12 5 15	5	5	5	6	6	4 5	5	11	NA	11	11	11	11	5
the copper	7	23	23	23	23	19 23	23	8	1	6	21	5	8	NA	20	8	7	8 21	14 21	9 8	23	19	15	1	8 21	5	5	5	19 5 5	5	5	1	NA	11 1	NA	4	4	4 19	16	4	4	4	16	5	NA	NA	15	15	15	15	5	14 21	10 14 19 21	14	10	NA	17	1 1	1	22	1	NA	1	1	23	23	23	24	23	1	1	1 18	19	NA	18	22	1	1	19	15	15	12	NA	21	15	15	15	1	1	1	1	1	1	1	7	7	25	25	5	5	5	7	7	7	5	5	5	5	8	NA	15	13	13	NA	2	1	19	NA	1	23	23	23	23	23	21	19	1	19	NA	17	19	5	5	NA	5	NA	NA	5	3	4 8	21	NA	21	8	21	NA
the corpse	2 6 9	9	9	9	9	9	9	4	9	5	13 4	1	4	NA	14	21	2	4 21	4	16 20 22	9	23	9	9	24	9	9	9	9 9	9	9	9	9	9	9	4	4	4	4	4	4 18	4 18	18	25	9	25	9	9	9	9	9	4	4 19	4	4	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	4	16	4	4	9	15	4 9	9	9	9	9	9	9	6	6	20	4	11	12	11	6	6	6	1 9	12	11	9	9	21	9	4	4	9	9	9	9	9	9	17 9	9	9	9	9	4 19	9	9	9	9	9	9	9	9	9	9	NA	NA	1 4 7 8 8 10	4	4	4	4	4	4	16	NA
the cross	6 4	NA	3	3	3 4	NA	4	4	4	5	4	2	4	4	7	4	NA	4	9	4	4	3	4	4	4	3	NA	3	3	3	3	NA	3	4	3	3	4	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	3 9	3	3	NA	NA	NA	NA	3	3	NA	4	4	4	4	4	4	4	4	4	NA	4	8	3	4	3	4	4	4	4	4	4	4	9	4	4	4	4	4	4	4	4	3	4	6 4	6 4	4	4	4	3 4	4	6	6	6	4	3 4	4	4	4	4	4	4	NA	NA	NA	NA	3	NA	3	4	NA	4	3 4	4	4	NA	NA	NA	NA	NA	3	4	NA	NA	3	3	3	1	4	4 4	4	4	4	4	4	4
the cup	12	19	15 15	19 6	19	19	19	30	18	9 13	21 31 33 6	9	NA	NA	26	NA	9	25	27 32	9 6	16	6	6	16 19 22	22	9	16 5	5	15 6	9	9	5	15	31	5	12	31	31	31	6	31	34	6	6	15	6	6	6	12	6	12 15	12	12	NA	12	5	5	5	5	28	19 28	19	19 28	28	15	19	NA	16 12 6	15	19	19	5 19	15	6	19	33	12	17 19	19	6	6	15	36	23	NA	6	6	17 19	19	24	19 24 6	15	12	19 12	12	12	6	6	4 5	6	15	6	12	8	9	6	5 4 29	12	12	NA	20	12	12	28	19	5 19 14	5	12	18	19 6	19	12 19	19	12 19	12	5 28	31	5 28	5	5	15	12	5 14 9	6	5 6	35	NA	1 2 3 7 11 9 14	10	NA	NA	37	6 37	6	NA	NA
the debt	8 9	3	3	3	3	3	3	7	3	5 6	3 15 16 10 7 19 19	3	NA	18	21	NA	9	NA	18 19	3	3	14	3	3 3 12	NA	3	3	3	3 3	3	3	3	3	3	3	20	20	20	20	20	20	20	20	3	3	3	3	3	3	3	3	11 10 7	11 10 7	10	10	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	7	7	17	3	3	3	3	3	3	3	3	3	3	8	8	3	3	3	3	3	8 9	8 9	9	3	3	3	3	3	NA	3	13	13	3	3	3	3	3	3	3	3	3	3	3	13	3	3	3	3	3	3	3	3	3	3	NA	NA	1 2 4 5	10	7	10	7	10 7	10 7	10 7 18	NA
the drum	6 7	18	18	18	18	18	18	4	18 17	11	22	7	4	19	15	22	6	22	19	1 7	18	1	7	17	22	7	7	7	7 7	7	7	17	17	17	17	24	24	24	24	24	24	24	24	7	7	7	7	7	7	7	7 10	19	1 14 21	19	19	17	17	17	17	18	17	17	17	17	18	18	18	18	18	17	17	17 20	17	17	17 20	18	18	18	18	7	23	22	22	22	7	7	7	18	17	17	17	17	17	17	7	7	7	7	1 7	1 7	7	13	1 3	7	1 7	1 7	1 7	9 12	7 9	22	7	NA	16	17	17	17	17	17	17	18	18	18	18	18	19	17	17	17	17	17	17	7	7	7	7	22	22	2 3 5 10 11	8	4	24	24	24	24	24	22
the duck	2 3	3	3	1	1	3	1	12	3	1	3	3	2	3	1	4	2	5	3	4 3	9	10	3	NA	8	3	3	3	3 3	3	3	1	1	1	1	1	1	1	1	1	1 3	1	1	3	NA	3	6 3	3	3	3	3	3	3	3	3	3	1	1	13	1	3	3	1 3	11	3	3	NA	3	3	1 6 3	6	1 3	6 3	3	3	3	3	3	3	6	NA	10	10	6	3	3	3	3	3	3	3	3	6	1 7 3	2	2	6	3	3	3	3	3	3	3	3	3	3	3	3	4	3	NA	4	1	1 3	1	1	3	3	1 3 3	1	1 3	1 3	3	3	NA	1	1	1	1	1	3	3	1	9	4	4	1 3	3	2	NA	6	NA	3	4 3	3
the dust	6	10	10	10	10	10	10	5	10	9	21	8	5	14	22	16	NA	11 5 21	21	22	10	19	10	10	11 12 17 17 18	8	8	8	8 8	8	8	10	10	10	10	5	5	5	5	5	5	5	5	8	8	8	8	8	8	8	8	21	21	21	21	10	10	10	10	10	10	10	10	10	8	8	8	10	8	10	10	10	10	10	10	23	10	15 10	15	10	10	11	11	13	8	8	8	10	10	10	10	10	10	10	6	6	8	8	8	8	8	6	6	6	8	8	8	8	8	16	10	20	20	10	10	10	10	10	15	10	10	10	10	10	21	NA	10	10	10	10	10	8	8	8	8	16	16	1 4 5 7	3	2 5	21	NA	21	21	24	21
the earring	4 7	41	41	41	41	41	41	17	27	3 6	30	5	NA	32	NA	31	7	40	18 33	3 9	41	9 9	14 36 39	9	34	9	9	9	9 9	9	9	9	9	9	9	28	28	28	NA	37	37	37	37	11	11	11	39	39	39	14 36	11	NA	NA	18 20 35	16 18	9	9	9	9	9	25	25	25	25	41	41 41	NA	41	41	23 26	24	24	24 9	24	24	27	27	27	27	36 38	36	34	34	34	36	NA	13 36	27	24	24 9	24	24	19 24	24	11	11	3	11	9 11	11	9 11	11	11	9 11	11	11	9 11	11	NA	NA	39	NA	31	9	9	9	9	9	27	41	41	41	41	41	NA	9	9	9	9	9	9	9	9	9	9	31	29	2 8 10	12	1	42	NA	42	42	16	43
the egg	6	10	10	10	17	10	10	4	12	3	18	9	4	14	24	14	6	19	14	9	17	25	NA	9	16	9	9	9	9 9	9	9	23	9 23	22	22	20	20	20	20	20	20	20	20	10	10	10	11	11	11	11	9	14	14	14	14	22	22	22	9 22	22	10	10	10 9	10	17	17	NA	17	17	10	10	10	10	10	10	12	12	12	12	11	11	16	16	16	11	11	11	12	9	9	9	9	9	9	6	6	15	15	NA	9	9	6	6	6	9	9	9	15	NA	14	11	18	18	22	22	22	9	9	12	17	10	17 10	10	10	13	NA	21	21	9	9	9	9	9	9	9	14	14	1 2 7 8	5	4	26	26	26	26	26	18
the fairy tale	6 9	14 2	2	2	2	14 2	2	10	2 2 2	5 2 7	15	6 8	NA	17	19	17	9	10 15	17	12	14	18	NA	14 6	21	6 8	6	6	6 18 18	6	6	14	14	14	14	20	20	20	20	20	20	20	20	20	20	20	14	14	14	14	6	17	17	17	17	14	13 14	14	14	14	13	13	13	14	14	14	14	14 20	14	13 14	13	13	13 14	13	13	18	2	2	2	14	14	15	15	15	11	13	11	2	13	13	13	14	13	13	6	6	16	6	6	6	6	9	6	9	6	6	6	20	6	17	14	17	17	14	14	14	14	14	2	2	2	14	2	14 2	15	NA	14	14	14	14	14	6	6	13	6	17	17	1 3 4 7	NA	NA	15	15	15	15	17	NA
the family	2	3	3	3	3	3	3	16	3	1 4	3	1	3	3	11	3	2	7 10 10 3	7 13 3	7 7	12	16	12 3	12 3	8	3	1	16	1 1	1	1	12	3	12	17 3	12	12 14	12	14	12	12 14	12 14	12	3	3	3	3	3	3	12	1	3	3	3	3	12	15 3	12 3	12	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	10	9	10	3	3	3	3	3	3	3	3	12 3	3	2	2	3	3	1	1	1	2	2	2	1	1	1	1	1	3	3	3	3	3	12	12	3	3	3	3	3	3	3	3	3	3	3	3	3	3	12	12	12	1	12	3	3	5	6	3	3	NA	3	3	12 3	7
the felt	5 10	24	24 26	24	24	24	24 26	NA	24	4 4	13	1	NA	12	11	15	6	NA	NA	22	24	14	24	16	NA	19	22	22	22	19	19	20	NA	16	NA	NA	33	NA	33	NA	33	33	25	21	NA	24	24	24	24	24	1	NA	NA	NA	NA	NA	NA	NA	16	16	NA	NA	16 16	16	24	NA	NA	24	24	16	16	16 17	31 16	16	16 17	31	31	24	31	35 29	27	30	NA	13	28	11	24	NA	17	16	16	16	17	16	10	10	18	21	1	1	1	3	1	NA	1	2	1	9	9	NA	24	NA	NA	31	16	NA	31	NA	24	24	26	24	24 26	24	NA	16	16	16	NA	16	23	22	1 19	NA	32	NA	NA	5	8	34 7	NA	NA	NA	NA	NA	NA
the fermented drink	NA	18	5	18	18	18	18	17	NA	5	22	3	2	22	11 14	NA	NA	10 22	22	5	5	5	5 19	NA	10	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	8	NA	8	NA	8	8	20	7	7	7	21	21	21	5	NA	13 15 22	NA	13 15 22	22	NA	16	NA	16	16	18	18	18	18	18	18	18	18	18	18	18	5	5 18	NA	5	5	24	5	24	5	19	10	12	10	5 21	19	19	5	18	18	18	5 18	NA	18	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	19	NA	22	NA	16	NA	NA	NA	5 18	18	5	5	18	18	22	16	16	16	NA	16	5	9	NA	NA	NA	NA	23	NA	4	2	13	13	13	NA	NA	NA
the firewood	7	12	12	12	12	12	12	6	12	1	17	6	NA	NA	10	NA	7	NA	NA	8	12	11	16	9	NA	6	6	6	6 6	14	14	9	9	9	9	17	17	17	17	17	17	17	17	16	16	16	16	16	16	16	6	18	NA	18	NA	9	9	9	9	9	9	9	9	9	12	12	NA	12	12	9	9	9	9	13	9	12	12	12	12	16	16	19	19	19	16	16	16	12	9	9	9	9	9	9	7	7	16	16	NA	6	6	7	7	7	6	6	6	16	NA	NA	16	NA	NA	9	9	9	9	9	12	12	12	12	12	12	NA	9	9	9	9	9	9	6	6	6	6	15	NA	2 2	4	3	20	20	20	20	21	NA
the fish	5	1 10	1	1	1	1	1	2	16	4 4	18	1	2	13	14	13	5	8	18	1	9 10	12	1	1	8	1	1	1	1 1	1	1	17	17	17	17	1	1	1	1	1	1	1	11	1	1	1	1	1	1	1	1	18	18	18	18	17	17	17	17	15	1	1 17	1	1	1	1	NA	1	1	1	1	1	1	1	7	1	1	1	1	1	1	8	8	8	1	1	1	1	1	1	1	1	1	1	5	5	1	1	NA	1	1	5	5	5	1	1	1	1	NA	18	1	18	18	17	17	17	15	15	1	1	1	1	1	1	18	17	17	17	17	17	15	1	NA	1	1	13	13	3	6	2	19	NA	19	19	19	1
the fist	2	9	9	9	9	9	9	2	9	5	12	6	NA	12	8	12	3	7	12	6	9	1	9	9 1	7	6	6	6	6 6	6	6	9	9	9	9	13	13	13	13	13	13	13	13	9	9	9	9	9	9	9	6	12	12	12	12	9	9	9	9	9	9	9	9	9	9	9	NA	9	9	9	9	9	9	9	9	9	9	9	9	9	9	7	7	7	9	9	9	9	9	9	9	9	9	9	2	2	9	9	6	6	6	2	2	2	6	6	6	9	9	NA	9	11	11	9 1	9	9	9	9	9	9	9	9	9	9	12	9	9	9	9	9	9	6	6	6	10	12	12	3 4	NA	NA	12	12	12	12	14	12
the flour	4	15	15	15	15	15	15	11	NA	5 5	9 10	7	NA	20	6	16	4	9 10 9 10	22	7	15	17	15	15	11	7	7	7	7 7	13	13	19	15	15	15	12	12	12	12	12	12	12	12	19	19	19	15	15	15	15	7	22	22	22	22	15	15	15	15	19	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	11	11	11	15	15	15	15	15	15	15	15	15	15	4	4	15	15	7	7	7	4	4	4	7	7	7	8	8	16	15	11	11	15	15	15	19	19	14	15	15	15	15	15	21	15	15	19	15	15	19	7	7	7	7	16	16	1	3	2	11	NA	11	11	11	11
the flower	2	17	17	17	17	17	17	3	17	8	7	4	3	NA	16	12	6	10 7	19	2	4 17	18	9 9	15	10	4	4	4	4 4	4	4	15	15	15	15	13	13	13	13	13	13	13	13	7	7	7	9	9	14	9	2 4	19	19	19	19	15	15	15	15	15	15	15	15	15	17	17	NA	17	17	15	15	15	15	15	15	17	17	17	17	9	9	10	10	10	9	9	9	17	15	15	15	15	15	15	2 6	2	4 7	4 7	2 4	2 4	4	6	6	2 6	2 4	4 2	2 4	7	7	NA	9	19	19	15	15	15	15	15	17	17	17	17	17	17	11	15	15	15	15	15	15	4	4	4	4	12	12	1 5	7	3	19	19	19	19	11	7
the footprint	6	15	15	15	15	15	15	13	22 21 22 15	4	25	3	NA	25	20	26	10	24	26	17	15	30	22 15	33	24	28	23 28	28	28 28	28	28	15	22	15	22	15	15	15	19	15	15	15	15	16	16	16	15	15	NA	15	3 7	26 26	26	26	26	15	15	NA	15	15	15	15	15	15	15	15	NA	15	15	15	15	22 15	15	15	22 15	32	15	15	15	15	27	24	24	24	15	31 15	15	15	15	15	15	15	15	15	6	6	16	16	NA	3	3	6	6	6	3 7	3	3	16	NA	26	15	25	26	33	15	22 15	15	22	15	15	15	15	15	15	26	14	22	14	22	22	22	7	7	7	7	26 29	26	1 5 9 11 12	8	2	15 25	15	13 25	15	15	27
the fork	2	22	22	22	22	22	22	7	1 22	5	11	2	NA	13	15	19	2	NA	16	22	24	8	2	21 22	NA	22	22	9 22	9 8 22 22	22	22	17	17	17	17	20	20	20	20	20	20	20	20	23	8	23	2	2	2	2	2	16	16	16	16	17	17	17	17	17	22	22	22	22	14	14	NA	14	14	22	22	22	22	22	22	22	22	22	22	NA	18	8	12	12	2	2	18	1	22	22	22	22	22	22	2	2	23	23	2	2	8	2	2	2	2	2	2	2	2	NA	8	22	NA	17	17	17	17 17	17	22	22	22	22	22	22	10	17	17	17	17	17	22	22	22	22	22	19	19	2 5 6	3	7	25	8	8	8 11	11	3
the fork(2)/pitchfork	3	18	18	18	18	18	18	22	1	5	NA	3	NA	12	26	12	7	NA	12	21	18	11	24	16	NA	3	3	3	3 3	3	3	15	15	15	15	15	15	15	15	15	15	15	15	3	3	3	23	23	23	23	3	12	12	12	12	15	15	15	15	16	16	16	16	13	18	18	NA	18	18	16	16	16	17	16	16	16	1	1	1	24	24	14	14	14	19 24	24	NA	1	16	16	16	16	13	16	3	3	25 3	25	3	3	3	3	3	3	3	3	3	3	3	NA	24	20	20	16	16	16	16	16	1	18	18	18	18	18	12	15	15	15	15	15	15	3	3	3	NA	12	12	2 6 8 9	4	10	12	12	12	12	12	3
the friend	2 4	2	2	2	2	2	2	3	2 12 15 12	5	8	2	NA	8	9	16	4	6 3 8	22	2 12 12 14 23	14	10 17	2 14 21 12	2	NA	2	2 12	2 12	2 2	2	2	2 12	2 12 13	2 12	12	19	19	19	19	19	19	12	7	2	2	2	2	2	2	2	2	22	22	22	3 22	2	2 12	12	2	2	2	2	2	2	2	12	12	2	2	2	2	2	2	2	2	2 18	2 15	2	15	12	12	3	3	3	2 12	12	12	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	20	20	16	12	3	3	2	2	2	2	2	2	2	2	2	2	2	3 8	2	2	2	2	2	2	2	2 2	2	2	3	3	2	3	3	3 8	3	3	3	NA	8
the frog	2	18	18	18	18	18	18	6	1 15	3 7	17	5	6	16	24	16	2	20	16	2	18	21	15	15	19	5	5	5	5 5	5	5	13	13	13	13	14	12	12	12	14	12	12	14	23	23	23	25	25	28	25	5	16	16	16	16	13	13	13	13	13	15	15	15	15	18	18	NA	18	18	15	15	15	15	15	15	15	1	1	15	15	15	19	19	19	30	22	15	1	15	15	15	15	15	15	2	2	5	5	5	5	5	2	2	2	5	5	5	29	NA	16	15	16	16	13	13	13	26	13	15	18	18	18	18	18	16	13	13	13	13	13	13	5	5	5	27	16	16	4 5 8 10 11	9	6	16	NA	16	16	16	17
the garden	1	13	12	13	1	13	1	5	1	3 4	7	1	1	7	9	7	1	7	7	8	1	14	1	1	7	1	1	1	1 1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	10	10	1 10	1	1	1	1 10	1	1	1 13	1	1	1	13	1 10	1	1	10	1	1	6	1	1	1	1	10	6 14	14	11	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1 2	1	1 2	1	1	1	1	1	7	1	7	7	1	1 1	1	1	1	1	12 13	1	NA	13	1	5	1	1	1	1	1	1	1	1	1	1	7 15	7	1 1 1 1 10	1	1	7	NA	7	5	NA	1
the glass	2	11	11	11	11	11	11	3	2	7	12 6	6	3	16	9	NA	5	3	14 15	6	6	17	2	6	3	6	6	6	6 6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	2	2	2	2	2	2	2	2 6	15	15	15	15	11	6	6	6	6	11	11	11	11 6	11	2 11	11	11	11	11	6	11	6	11	11	8	8	10	8	2	2	3	3	3	2	2	2	6	6	6	6	11 6	18	6	2	2	2	2	2	6	2	2	2	2 6	2	6	2	2	2	NA	2 12	13	13	6	6	11	11	6	6	11	11	11	11	11	12	11	11	11	11	11	11	6	11	11	11	NA	NA	1 6	4	3	15	15	15	15	19	NA
the gold	5	6	6	6	6	6	6	3	6	2	3	6	3	3	9	3	5	3	3	8	8	10	6	6	3	6	6	6	6 6	6	6	6	6	6	6	12	12	12	12	12	12	12	12	6	6	6	6	6	6	6	6	3	3	3	3	6	6	6	6	6	6	6	6	6	6	6	6	NA	6	6	6	6	6	6	6	6	6	6	6	6	6	3	3	3	6	6	6	6	6	6	6	6	6	6	11	5 6	6	6	6	6	6	6	5 6	6	6	6	6	6	6	3	6	3	3	6	6	6	6	6	6	6	6	6	6	6	3	6	6	6	6	6	6	6	6	6	6	3	3	1 7	3	3	3	3	3	3	3	3
the goose	1 3	3	3	3	3	3	3	7	3	5	3	2 4	1	3	3	3	1	1	3	3	3	6	3	3	1	3	3	3	3 3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6	NA	1	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	NA	NA	NA	3	3
the grape	4	15	15	15	15	15	15	3	12 6	2	14	6	3	9	11	17	4	10 10	14	6	15	8	6 11 13	13	10	6	6	6	6 6	6	6	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	6	14	14	14	14	13	13	13 13	13	13	13	13	13	13	6	6	6	6	6	13	13	13	13	13	13	16	12	12	12	13	13	10	10	10	13	13	13	12	13	13	13	13	13	13	4	4	13	13	6	6	6	4	4	4	6	6	6	13	13	17	13	7	7	13	13	13	13	13	12	15	15	15	15	15	14	13	13	13	13	13	13	6	6	6	6	17	17	1	13	3	14	14	14	14	7 14 18	14
