Lexeme	Alibeglo1	Arkhit1	Arkhit2	Arkhit3	Arkhit4	Arkhit5	Arkhit6	Bezhta1	D_Agul	D_Arabic	D_Avar	D_Azerbaijani	D_Bezhta1	D_Botlikh	D_Chechen	D_Gagatli	D_Georgian	D_Hinuq	D_Karata	D_Kumyk	D_Lezgian	D_Russian	D_Rutul	D_Tabasaran	D_Tsez	Darvag1	Darvag2	Darvag3	Darvag4	Darvag5	Darvag6	Dyubek1	Dyubek2	Dyubek3	Dyubek4	Dzhavgat1	Dzhavgat2	Dzhavgat3	Dzhavgat4	Dzhibakhni1	Dzhibakhni2	Dzhibakhni3	Dzhibakhni4	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Ilisu1	Karata1	Karata2	Karata3	Karata4	Khapil1	Khapil2	Khapil3	Khapil4	Khapil5	Khiv1	Khiv2	Khiv3	Khiv4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Khoredzh1	Khoredzh2	Khoredzh3	Khoredzh4	Khoredzh5	Khoredzh6	Khutkhul1	Khutkhul2	Khutkhul3	Khutkhul4	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kurag1	Laka1	Laka2	Laka3	Laka4	Laka5	Laka6	Meshabash1	Meshabash2	Mikik1	Mikik2	Qax1	Qax2	Qax3	Qax4	Qax5	Qax6	Qax7	Qax8	Qax9	Qum1	Qum2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tatil1	Tatil2	Tatil3	Tatil4	Tatil5	Tpig1	Tsinit1	Tsinit2	Tsinit3	Tsinit4	Tsinit5	Tukita1	Yagdyg1	Yagdyg2	Yagdyg3	Yagdyg4	Yagdyg5	Yagdyg6	Yersi1	Yersi2	Yersi3	Yersi4	Zilo1	Zilo2	D_Persian	D_Archi	D_Bezhta2	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	D_Bagvalal	Kusur1
the grasshopper	6	27	27	27	27	27	27	9	28	5 8	10	2	9	12	30	12	6	25	12	24 31	NA	17	27	18 32	25	22	22	14	22 22	22	22	11	NA	11	29	23	23	23	23	23	23	23	23	27	27	27	26	26	20 26	27	2	12	12	12	12	11	16	NA	16	19	27	27	27	27	27	27	NA	27	27	27	18	18	18	18	18	28	28	28	28	27	27	25	25	25	27	27	27	28	16	18	18	18	18	18	4	4	27	27	NA	2	2	6	6	3 6	2	2	2	13	NA	12	NA	12	12	11	11	32	21	21	28	27	27	27	27	27	12	11	11	11	11	11	21	15	15	15	15	12	12	7	1	9	12	12	12	NA	12	27
the guest	3	4	4	4	4	4	4	2	7 4 7	1	2	3	2	13	11	13	14	9	13	3	4	8	4	12	9	3	3	10	3 3	3	3	12	12	12	12	6	6	6	6	6	6	6	6	4	4	4	4	4	4	4	3	13	13	13	13	12	12	12	12	12 12	12	12	12	12	4	4	4	4	4	12	12	12	12	12	12	12	7	7	7	4	4	9	9	9	4	4	4	7	12	12	12	12	12	12	3	3	4	4	3	3	3	3 14	3	3 14	3	3	3	4	4	13	4	13	13	12	12	12	12	12	7	4	4	4	4	4	13	NA	12	12	12	12	12	3	3	3	3	13	13	4	5	2	13	13	13	13	13	2
the gun	5	4	4	4	2 4	4	4	5 9	4	1	4	4	NA	NA	5	NA	5	4 5	5	4	4	6	4	4	5	4	4	4	4 4	4	4	4	4	4 9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5 9	5	5	4	4	4	4	4	7 4	4	4	6 4	4	4	9	4	4	4 9	4	4	4	4 9	4	4	4	4	4	4	4	7	4	5	4	4	4	4	4	4	4	4	4	4	5	5	4	4	4	4	3 4	5	5	9 5	4	4	4	4	4	NA	4	8	8	4	4	4	4	4	4 9	4	4	4	4	4 9	4	4	4	4	4	4	9	4	4	4	4	9	NA	4 5	4	5	7 5	NA	4	4	5	NA
the hammer	1	2	2	2	2	2	2	6	8	3	2	1	6	2	9	2	1	2	2	1	2	11	12	13	7 2	1	1	1	1 1	1	1	13	13	13	13	10	10	10	10	10	10	10	10	1	1	1	12	12	12	12	1	2	2	2	2	1	1	1	1	1	13	13	13	13	1	1	1	1	NA	13	13	13	13	13	13	8	8	8	8	12	12	2	2	2	12	12	12	8	13	13	13	13	13	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	12	2	2	1	1	1	1	1	8	2	2	2	2	2	2	13	13	13	13	13	13	5	1	1	1	2	2	1 4	2	6	2	NA	2	2	2	2
the hare	4	9	9	9	9	9	9	6	7	1	8	2	6	15	12 12 16 17	15	4	18	15	14 2	9	11	10	9	18	2	2	2	2 2	2	2	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	2	13	13	13	15	9	9	9	9	9	9	9	9	9	9	9	NA	9	9	9	9	9	9	9	9	7	7	7	7	10	10	18	18	18	18	10	10	7	9	9	9	9	9	9	4	4	10	10	NA	2	2	4	4	4	2	2	2	10	NA	15	10	15	15	9	9	9	9	9	7	9	9	9	9	9	15	9	9	9	9	9	9	2	2	2	2	15	15	3	5	6	15	15	15	15	19	2
the herd	8 10 16	8 38	38	8 38	8 38	8 38	38	21	29 31 41	2 11 12 13	35	8 38	NA	35	19	34	16	25 35	36	24 26 38 40	26 30 8 33 38	39	38	31	35	8	8	38	38 38	8	8	31	23	23 31	23	22	43	43	43	22	43	43	43	8	8 38	18	44	42	8	44	7	37	37	37	37	31	31	31	31	31	31	31	31	31	8 38	8	38	8	8 38	31	31	31	31	31	31	17	29	29	29	26	8	20	20	35	38	38	38	29	31	31	31	31	31	31	10	10	38	38	38	38	38	10	38	10	8 38	38	38	26 38	8 38	34	8	32	32	31	31	31	31	31	29	38	38	8 38	8 38	8 38	27 27	NA	31	31	31	31	31	8 38	38	17	8	34	34	1 2 3 4 5 6 9 14 3	NA	NA	35 37	37	37	37	36	35 38
the iron	4	14	14	14	14	14	14	5	14	3	12	2	5	11	17	11 16	4	7	11	2	14	9	8	14	7	2	2	2	2 2	2	2	14	14	14	14	13	13	13	13	13	13	13	13	10	8	10	8	8	8	8	2	11	11	11	11	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	8	8	7	7	7	NA	8	8	14	14	14	14	14	14	14	4	4	10	10	2	2	2	4	4	4	2	2	2	2	2	11	8	15	15	14	14	14	14	14	14	14	14	14	14	14	11	14	14	14	14	14	14	2	2	2	2	11	11	1	6	5	11	11	11	11	11	12
the joke	5 6	5	5	5	5	5 11	5	12	5	3	12	5	NA	12	10	12	6	8 1 1 12	12	12 14	5	17	5	5	12	5	5	5	9 5	5 17	5 17	16	5	5	5	1	12	12	1	12	12	12	12	5	5	5	5	5	5	5	5	12	12	12	12	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	7 5	7 5	7 5	5	7 5	17	5	5	5	5	5	12	12	12	5	12	5	5	5	5	5	7 5	5	5	6	6	5	5	5	5	5	6	5 6	6	5	5	5	5	5	12	5	12	12	5	5	5	13	NA	5 15	5 11	5 11	5	5	5	12	5	5	5	5	5	5	5	16	16	16	12	12	1 2 4	NA	NA	12	12	12	12	12	5
the lead	4 6	4	4	4	4	4	4	2	4	5	10	4	NA	10	8	10	6	2	10	4	4	9	4	4	2	4	4	4	4 4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	10	NA	10	10	4	4	4	4	4	4	4	4	4	4	4	9	4	4	4	4	4	NA	4	NA	4	4	4	4	4	4	NA	NA	2	4	4	4	4	4	4	4	4	4	4	6	6	4	4	4	4	4	1	6	4	4	4	4	4	4	10	4	10	NA	4	4	4	4	4	4	4	4	4	4	4	10	4	4	4	4	4	4	4	4	4	4	10	10	3	7	2	10	NA	10	11	10	12
the lightning	2 4	27	27	27	29	27	27	5	27	1	18	4	5	18	21	20	2	16	18	31	27	17	19 26	15	16	4	4	4	4 4	4	4	14	14	14	14	27	27	27	27	27	27	27	27	4	11 24	13	22 24	28	28	4	4 9	18	18	18	18	14	14	15	14	14	14	15	15	15	27	27	NA	27	27	27	14	14	15	14	14	12	27	27	27	19 26	19 26	16	16	23	19 26	19 26	19 26	25	15	15	14	14	14	14	2 4	2 4	NA	4	4 9	4	4	3	2 4	4	4 9	4	4	30	NA	NA	26	NA	18	15	14	14	14	14	27	27	27	27	27	27	18	15	14	15	14	14	14	4	4	4	4	18	18	1 7 8 10	6	5	33 27	NA	33	32	34	4
the lion	6	1	1	1	1	1	1	15	1	2	4	1	4	4	6	4	6	4	4	1 1	1	11	1	1	NA	12	7	7	11 7	1 7	1 7	1	1	1	1	1	1	1 11	NA	1	1	1	1 10	12	1	1	1	1	1	1	1 7	4	4	4	4	1	1	1	1	1 11	1	1	1	1	1	11	12	1	1	1	1	1	1	1	1	9	1	1	1	1	12	NA	11	NA	1	14	1	1	1	1	1	1	1	12	6	6	12	1	1 7	1 8	1 7	6	6	6	1 7	1 8	1 7	7	7	4	1	4	4	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	11	7	7	11	1 7	4 15	4	1 2 3 3 5 7	4	4	4	4	4	4	4	1
the lip	5	13	13	13	13	13	13	3	12	4	10	1	3	15	6	16	5	11	16	19	13	8	7	10	9	1	1	1	1 1	1	1	10	10	10	10	17	17	17	17	17	17	17	17	13	13	13	13	7	13	13	1	16	16	16	16	10	10	10	10	10	10	10	10	10	13	13	13	13	13	10	10	10	10	10	10	12	12	12	12	7	13	11	9	11	13	7	13	12	10	10	10	10	10	10	5	5	14	14	NA	1	1	5	5	5	1	1	1	NA	NA	16	7 13	18	18	10	10	10	10	10	12	13	13	13	13	13	15	10	10	10	10	10	10	1	1	1	1	16	16	4 4	2	3	10	10	10	10	15	10 20
the lizard	12	34	34	34	34	34	34	5	23	4 9	22	7	5	19	26	21	12	35	13	16	34	37	27	34	35	18	7	18	18 18	18	18	34	34	34	34	36	36	36	36	36	36	36	36	14	14	14	32	29	32	32	6	13	13	13	13	34	34	34	34	34	34	34	34	34	31	30	NA	31	31	34	15 17	34	34	34	34	23	23	23	23	25	27	35	35	35	33	NA	27 33	23	34	34	34	34	34	34	12	12	6	6	6	6	6	12	12	12	6	6	6	6	NA	21	27	20	20	34	34	34	34	34	23	31 34	34	34	34	34	21	34	34	34	34	34	34	34	28 34	28	34	21	21	1 2 3 8 10	11	5	21	21	21	21	21	38
the lock	3	11	10	11	10	11	11 10	20	22	5	16 17 20	6	NA	21	14	21	2	NA	19	17	11 10	15	10	22	NA	1	1	1	1 17	1	1	12	12	12	12	19	19	19	19	19	19	19	19 23	16	NA	16	10	10	10	10	3	19	19	19	19	12	12	1	1 12	1	13	13 22	22	13	11	11 18	16	16	11	22	22	22	22	22	22	22	22	10 22	22	10	10	9	24	24	10	NA	10	10 22	22	22	22	22	22	22	3	3	16	16	1	3	3	3	3	3	3	3	1	16	16	21	10	21	21	1	1 12	12	1	1	22	10	10 11	11	10	10 11	20	12	12	12	12	25	1	1	1	1	1	21	21	8	4	7	16	16	16	16	26	26
the maize/corn	6	NA	8	8	8	11	8	6	8	3	13	5	6	12	8	8	NA	6 6	15	8	8	10	5	8 8	6	8	5 8	8	8 8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	5	5	5	5	5	5	5	5	15	15	15	15	8	8	8	8	8	8	8	8	8	10	8 10	NA	10	10	8	8	8	8	8	8	8	8	8	8	5	10	6	10	6	5	5	5	8	8	8	8	8	8	8	6	6	5	5	5	5	5	6	6	6	5	5	5	5	5	NA	5	14	14	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	5	8	8	8	8	1 2 7	4	6	15	15	15	15	14	5
the medicine	7	1	1	1	1	1	1	2	1	3	1 2	6	2	2	9	2	5	1 2 10 10	2	1	1	8	1	3 1	2	1	1	1	1 1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1 4	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	1	7	7	7	1	1	1	1	1	2	3 1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1 2	2	1 2	2	2	2	2	2 1	1
the melon	5 10	14	14	14	14	14	14	10	15	4	5	7 15	NA	5	5	5	10	10	5	5	14 15 14	17	15	16	NA	15	15	15	15 15	15	15	16	16	16	16	5	5	5	5	5	5	5	5	15	15	15	15	15	15	15	7	5 19	5 19	5	5	16	16	16	16	16	16	16	16	16	15	15	17	15	15	16	16	16	18	16	16	17	NA	NA	17	15	15	17	17	17	15	15	15	13	16	16	16	16	16	16	5 10	5 10	15	15	7	7	7	5	5	5 10	7	7	7	15	7	5	15	5	5	16	16	16	16	17	17	14	14	14	14	14	5	NA	16	16	16	19 20	16	15	15	15	15	5	5	1 1 3 4 6 8 9 11 12	NA	NA	17 5	17	5	17	21	15
the mirror	10	5	5	5	5	5	5	3	1	7 7	16	5	3	16	15	16	10	3	12 16	5	5	14	5	5	3	5	2 5	5	5 5	5	5	5	5	5	5	13	13	13	13	13	13	13	13	17	17	17	5	5	5	5	5	16	16	16	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5 5	5	5	5	1	1	1	1	5	5	3	3	3	5	5	5	1	5	5	5	5	5	5	10	10	17	17	5	5	5	10	10	10	5	5	5	17	17	NA	5	16	16	5	5	5	5	5	1	5	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	16	16	2 2 6 8 9	4	3	16	16	16	16	16	18
the money	6 7	6	6	6	6	6	6	5	6	2 3 4	1	6	5	1	8	1	6	12	1 15	8	6	9	14 16	6	12	6	6	6	6 6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	13	13	13	16	16	16	10	6	1 15	1 15	1 15	1 15	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	14	14	12	12	12	16	16	11 16	6	6	6	6	6	6	6	7	7	13	13	6	6	6	6	6	6	6	6	6	6	16	1	16	8	8	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	1	1	6	1	5	8	8	8	8	8	1
the mortar(2)	1	1 12	12	1	1	1 12	1	1	1	5	8 11	6	NA	8	1	8	NA	8	8	1 15	1	11	1	10	8	4	4	14	4 4	4	4	10	10	10	10	15	15	15	15	15	15	15	15	1	1	1	1	1	1	1	4 1	8	8	8	8	10	10	10	10	10	10	10	10	10	1	1	1	1	1	10	10	10	10	10	10	11	1	1	1	1	1	1	8	8	1	1	1	1	10	10	10	10	10	10	1	1	10 1	1	1	1	2 1	1	1	1	1	1	1	1	1 4	8	1	NA	1	10	10	10	16	NA	1	12	1	1 12	1 12	1 12	10 8	10	10	10	10	10	17	4	11 11	1	4	8	8	3	9	1	8	8	8	8	8	1
the mule	1	1	1	1	1	14	1	4	1	2	4	1	4	4	6	4	5	4	NA	1	1	14	1	1	4 4	NA	1	7	1	1	1	1	1	1	1	1	NA	1	NA	1	16	1	1	1	1	1	1	1	1	1	1	4	4	4	4	1	1	NA	1	1	1	1	1	1	1	1	NA	10 17	1	1	NA	1	NA	13	1	1	1	1	1	1	1	NA	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	11	NA	NA	1	1	14	NA	1	NA	NA	1	1	1	4	NA	8	1	1	8 1	15	1	9	1	NA	4	4	1 3	4	4	19 18	NA	4	19 18	4	4
the mushroom	7	17	17	17	17	17	17	7	22 24	3	12	5	7	NA	15 20	11	7	7	25	19	17	13	29	14	9 7 16 7	5	5	5	5 5	5	5	26	26	26	26	18	18	18	18	31	31	31	31	21	21	21	28	28	28	30	5	25	25	25	25	26	26	26	26	26	10	10	10	10	23	23	NA	23	17 23	10	14	14	14	14	14	22	22	22	22	29	29	7	7	7	23	23	23	22	10	10	10	10	10	10 14	7	7	5	5	5	5	5	7	7	7	5	5	5	5	5	NA	29	12	NA	26	26	26	26	26	24	17	17	17	17	17	12	26	26	26	14	26	26	5	5	5	5	27	27	1 4 6 8	2	7	32	12	12	32	33	18
the nail	5	3	3	3	3	3	3	6	12	5	15	1	6	14	18	14	NA	9	14 14	3 20	5	10	5 17	11 5 3	7	4	5	16	5 5 3	5	5	11	11	11 11	11	13	13	13	13	13	13	13	13	5	5	5	5	5	5	5	5	14	14	14	14	11	11	11	11	11	12	12	12	12 3	5	5	3	5 3	5	3	3	3	12 3	3	3	12	12	12	12	5	5	7	7	7	5	5	5	12	12	3	12 3	12 3	15	12 3	5	5	12	12	5 3	5	5	5	5	5	5 3	5	5	12	12	14	5	3	3	11	19	11	11	11	12	3	3	3	3	3	14	11	11	11	11	11	11	3	3	3	3	14	14	3 5 8	2	6	14	14	14	14	14	15
the needle(1)	7 9	23	23	23	23	23	23	21	23	4 6 10	24	5	NA	12	18	NA	9	17	12 16	5	NA	15	23	14 23	20	5	5	5	5 5	5	5	23	23	23	23	22	22	22	22	22	22	22	22	13	13	13	23	23	23	23	5	NA	NA	NA	NA	23	23	23	23	23	23	23	23	23	23	23	NA	23	23	23	23	23	23	23	23	23	23 23	23	23	23	23	20	20	20	23	23	23	23	23	23	23	23	23	23	9	9	13	13	5	5	5	9	9	9	5	5	5	13	13	NA	23	19	19	23	23	23	23	23	23	23	23	23	23	23	12	23	23	23	23	23	23	5	5	5	5	12	12	1 2 3 6	11	8	12	12	12	12	12	24
the neighbour	3	4	4	4	4	4	4	2	4	1	6 7 2 13 14	4	2	2	10	2	3	2 2	2	4	4	11	4	4	2	4	4	4	4 4	4	4	4	4	4	4	12	12	12	12	12	12	12	12	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	4	4	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	3	3	3	4	4	4	4	NA	NA	4	8 15	9	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	2	2	1 1	5	2	2	2	2	2	2	4
the nest	2	19	19	19	19	19	19	8	19	9	16	NA	8	16	14	16	2	19	15	24	19	18	NA	19	19	10	10	10	10 10	10	10	19	19	19	19	18	19	21	19	19	19	19	19	10	10	10	25	25	26	25 27	10	20	30	20	15	19	19	19	19	19	19	19	19	19	19	19	NA	19	19	19	19	19	19	19	19	23	19	19	19	13	13	12 17	12 19	19	NA	13	13	19	19	19	19	19	19	19	2	2	13	13	NA	10	10	2	2	2	10	10	10	13	NA	16	29	22	22	19	19	19	19	19	19	19	19	19	19	19	15	19	19	19	19	19	19	10	10	10	10	16	16 28	1 3 4 5 6 7	11	8	15	15	15	15 29	31	32
the nettle	1	11	11	11	11	11	11	5	13 13	6	16	3	5	9	NA	16	1	15	16	3	11	12	14	10	15	3	3	3	3 3	3	3	10	10	10	10	16	16	16	16	16	16	16	16	14	14	14	14	14	14	14	1	16	16	16	16	10	10	10	10	10	10	10	10	10	11	11	11	11	11	10	10	10	10	10	10	13	13	13	13	14	14	15	15	15	14	14	14	13	10	10	10	10	10	10	1	1	14	14	1	1	1	1	1	1	1 3	1	1	14	NA	16	14	16	16	10	10	10	10	10	13	11	11	11	11	11	17	10	10	10	10	10	10	3	NA	3	3	16	16	2 7 8 8	4	5	17	17	17	17	16	18
the oats	7	11	18	18	11 18	11	18	NA	13	4	3	9	NA	16	17 23	3	7	NA	3	3 23	11	19	26	11	22	1	NA	19	1	9	NA	11	18	11	24	18	18	18	18	24	15	15	18	11	25	NA	11	NA	11	11	1	10 18 3	10 3 28	10 10 3 21	3	18	24	18	11	18	NA	NA	11 18	11	3	11	12	11	3	11	27	11	14	18	11	19	18	18	18	12	25	18	18	18	11	11	11	18	11	11	11	11	11	24	7	7	26	26	9	8	1	2	7	2	8 9	8	9	26	26	3	26	3	NA	24	18	18	18	18	13 14	23	18	11	23	11	10 3 28	18	11	18	18	NA	18	NA	NA	20	1	10	3	5	3	6	3	NA	3	10	3	29
the orphan	5 3	3	3	3	3	3	3	2	3 3 3	3	2 13 3	3	2	NA	8	7	5	2 3	9 12	3 15	3	16	10 3	3	2	3	3	3	3 3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	11	11	11	11 14	3	3	3	3	3	3	3	3	3	10	3	3	10 3	3	3	3	3	3	3	3	6 3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3 17	3	3	3	3	5 3	5 3	5 3	3	3	3	3	NA	NA	3	NA	NA	3	3	3	3	3	3	3	3	3	3	3	2 14	3	3	3	3	3	3	3	3	3	3	NA	NA	3 3	4	2	3	NA	2	2	3	NA
the owl	4	15	21	21	21	21	15	8	9	3 3	8	1	8	NA	11	NA	4	9 8	8	17 19	1	20	21	13	18	13	13	13	13 13	13	13	13	13	13	13	22	22	22	22	22	22	22	22	1	1	1	21	21	21	21	1	8	8	9	9	13	13	13	13	13	21	21	21	21	15	15	21	14	15	21	21	21	21	21	21	9	1	1	9	21	23	18	18	18	21	21	21	9	21	21	21	21	NA	21	4	4	1	1	1	1	1	4	4	4	1	1	1	12	NA	NA	NA	8	10 8	13	13	13	13	13	9	21	21	21	21	15	9 8	13	13	13	13	13	20	13	13	13	13	16	NA	2 3 6 7	5	8	8	8	8	8	9	NA
the paint	3 8	8	4	8	8	8	8	NA	8	2 7 9	12 14	1	3	NA	10 8	NA	6	12 13	12	1 8	4	3	4 8	4 15 8	13	8	8	8	4 8 8	8	8	8	8	8	4	3	4 8	3 8	4 8	3	4	4	4	4 8	8	4	4	8	4	16	1	12	3	12	14	8	4	8	4	4 8	8	8	8	4 8	8	8	8	4	NA	4 8	4 8	8	8	8	8	4	8	8	8	4	8	3	NA	13	4	8	8	8	8	8	8	4	8	8	3 8	8	8	3	1 4	1 3	1 3	3	3	3	4	1 3	1 4	8	4	NA	4 8	3 12	3	8	8	8	3	4	8	8	4	8	8	4 8	12	8	8	8	8	8	8	4	8	8	8	12	NA	4	5	3	3 12	12	3	3	12	NA
the paper	3	10	10	10	10	10	10	5	9	8 8	3	2	5	3	3	3	3	3	3	2	2	11	3	2	3	2	2	2	2 2	2	2	9	9	9	9	3	3	3	3	3	3	3	3	2	7	9	3	3	3	3	2	3	3	3	3	9	9	9	9	9	2	9	9	3	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	3	3	3	3	3	3	3	3	9	9	2	9	9	9	9	3	3	2	2	8	2	2	6	3 7	6	1 8	2	8	2	9	3	3	NA	2	9	9	9	9	9	9	10	10	2 10	10	10	3	NA	9	9	9	9	9	2	2	2	2	3	3	2	4	5	11	11	11	11	3	3
the partridge	2	18	18	32	18 32	18	18	11	11	3	24	5	NA	12	25	12	2	12	12	20 30	18	17	11	11	19	17	5 36	5 23	5 5 17	10	10	29	NA	11 29	NA	16	2	16	16	2	22	2	2	11	NA	11	18 28	11	11	11	5	12	12	12	12	15	15	34	11	17	11	NA	11 21	11	18	18	NA	18	18	11 27	11	11	NA	27	11	35	11	11	11	11	11	NA	9	19	11	11	11	11	11	11	11	11	NA	11	2	2	14	14	NA	5	5	6	2 6	2 6	5	5	5	NA	NA	12	11	12	NA	NA	11	11	34	34	11	NA	31	18	18	18	12	NA	11	13	11	11	33	5	5	NA	26	12	12	1 4 7	NA	NA	NA	NA	12	NA	12	24
