Lexeme	Alibeglo1	Arkhit1	Arkhit2	Arkhit3	Arkhit4	Arkhit5	Arkhit6	Bezhta1	D_Agul	D_Arabic	D_Avar	D_Azerbaijani	D_Bezhta1	D_Botlikh	D_Chechen	D_Gagatli	D_Georgian	D_Hinuq	D_Karata	D_Kumyk	D_Lezgian	D_Russian	D_Rutul	D_Tabasaran	D_Tsez	Darvag1	Darvag2	Darvag3	Darvag4	Darvag5	Darvag6	Dyubek1	Dyubek2	Dyubek3	Dyubek4	Dzhavgat1	Dzhavgat2	Dzhavgat3	Dzhavgat4	Dzhibakhni1	Dzhibakhni2	Dzhibakhni3	Dzhibakhni4	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Ilisu1	Karata1	Karata2	Karata3	Karata4	Khapil1	Khapil2	Khapil3	Khapil4	Khapil5	Khiv1	Khiv2	Khiv3	Khiv4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Khoredzh1	Khoredzh2	Khoredzh3	Khoredzh4	Khoredzh5	Khoredzh6	Khutkhul1	Khutkhul2	Khutkhul3	Khutkhul4	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kurag1	Laka1	Laka2	Laka3	Laka4	Laka5	Laka6	Meshabash1	Meshabash2	Mikik1	Mikik2	Qax1	Qax2	Qax3	Qax4	Qax5	Qax6	Qax7	Qax8	Qax9	Qum1	Qum2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tatil1	Tatil2	Tatil3	Tatil4	Tatil5	Tpig1	Tsinit1	Tsinit2	Tsinit3	Tsinit4	Tsinit5	Tukita1	Yagdyg1	Yagdyg2	Yagdyg3	Yagdyg4	Yagdyg5	Yagdyg6	Yersi1	Yersi2	Yersi3	Yersi4	Zilo1	Zilo2	D_Persian	D_Archi	D_Bezhta2	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	D_Bagvalal	Kusur1
the soup	3 5	13 2	13	13	13 2	13 2	13	2	12	2	2	2	2	2	2	10 2	4	7 2	2	2	3 13	3	16	8 2	2	2	2	2	3 2 2	2	2	2	2	2	2	11	11	11	11	11	11	11	11	9	9	9	12	12	12	12	3 2	2	2	2	2	2	2	2	2	14 2	8 13	8	8	8	13 16	16	15	16	3 13	8	8	8	8	8	8	2	2	2	2	NA	3 2	2	2	2	12	12	12	2	8	8	8	8	8	8	3 4	3 4	9	9	3	3	3	3 4	3 4	3	3	2 3	3 2	9	3	2	16	2	2	8 2	2	2	2	2	12	3 13 2	13	13 2	13 2	13 2	2	NA	2	2	6	2	2	2	2	6	2	2	2	3	1	2	2	2	2	2	NA	10
the spade	6 8	6	6	6	6	6	6	1	12	4 7	2 10	5	1 3	19	9 2	2	8	1	2 14	2 15 6	11 16 2 11	6	2 20	2	1	6	6	6	6 6	6	6	6	6	6	6	12	12	12	12	12	12	12	12	15	6	15	16	16	13	16	2 5	2	2	2	2	6	6	6	6	6	6	6	6	17 6	2	6 2	6	6 2	11 16 2 11	6	6	6	6	6	6	18	12	12	12	6	2	1	1	1	2	2	2	12	6	6	6	6	6	6	6	6	15	15	5	5	5 6	6	6	6	5 2	5	5	6	15	2	2	6	6	6	6	6	6	6	12	6 2	6	11 6 2	11 6	11 2	2	6	6	6	6	6	6	2 6	6	6	6	2	2	2	2	1	2	2	2	2	21 2 19	21
the spider	3	36	36	36	41	36	36	8 11	34	2	22	5	8 11	23	16	27	9	15 26	30	21 21	36	25	32	31	15	5	5	5	5 5	5	5	31	31	31	31	39	39	39	39	39	39	39	19	17	17	17	32	32	32	32	5	30	30	30	30	31	31	31	31	31	31	31	31	31	36	36	NA	36	36	31	31	31	31	31	31	18	18	18	18	32	33	14	NA	15	32	32	32	18	31	31	31	31	31	31	3 9	3 9	24	NA	5	5	5	3	3	3	5	5	5	17	17	20	32	38	38	31	31	31	31	31	34	36	36	36	36	36	28	31	31	31	31	31	31	5	5	5	5	20	20	1 2 4 6 10 12 12 13	7	8	45	NA	43	42	44	45
the spoon	4	21	21	21	21	21	21	4	21	6	9 10 12	3	4	11	1	7	4	4 17	10 11	3	21	18	13	19	10	3	3	3	3 3	3	3	19	19	19	19	14	14	14	14	14	14	14	14	16	16	16	13	13	13	13	3	NA	NA	NA	NA	19	19	19	19	19	19	19	19	19	21	21	21	21	21	19	19	19	19	19	19	21	21	21	21	13	13	4	4	4	13	13	13	21	19	19	19	19	19	19	4	4	16	16	3	3	3	4	4	4	3	3	3	16	16	7	13	20	20	19	19	19	19	19	21	21	21	21	21	21	10	19	19	19	19	19	19	3	3	3	3	7	7	3	2	4 5	10	10	10	10	10 22	10
the sugar	2	2	2	2	2	2	2	2	2	2	2	4 2	2	NA	2	NA	2	2	2	2	6	8	2	2	3	4 2	2	2	2 2	2	2	2	2	2	3 2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3 2	2	2	3 2	2	2	2	2	3	3 2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4 2	4	4	2	3 2	2	4 2	4	2	4	4	NA	2	2	2	2	2	2	2	2	2	2	7	2	2	2	2	NA	2	2	2	2	2	4 2	2	2	2	2	NA	1 4 2 2 5	2	2	3 2	NA	2	2	2	NA
the table	1	1	1	1	1	1	1	1	1	6 9	1	1 7	1	1	11 15 16	1	5	1	1	1	1	1	1	1	1	1	1	1	1 1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10 1	10	10 1	7	1	1	1	1	1	1 13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14	1	1	1	1	10	10 1	1	1	1	1	12 1	1	1	1	1	1	1	7 1	NA	1	1	1	1	1	2	7 1	1	1	1	1	1	1	1	1	1 1	1 13	1	1	1	1	1	1	1	1	NA	1	1	1 13	1 13	1	7	1	1	1	1	1	3 4 8	1	1	1	1	1	1	1	1
the tail	5	18	18	18	18	18	18	6	14	1 2 3	16	8	6	15	17	15	5	15	15 16	8	18	9	12	14	15	8	8	8	8 8	8	8	14	14	14	14	14	14	14	14	14	14	14	14	10	10	10	12	12	12	12	8	15	15	15	15	NA	14	14	14	14	14	14	14	14	18	18	18	18	18	14	14	14	14	14	14	11	14	14	14	12	12	15	15	15	12	12	12	14	14	14	14	14	14	14	5	5	10	10	NA	8	8	5	5	5	8	8	8	10	NA	15	12	13	13	14	14	14	14	14	14	18	18	18	18	18	15	14	14	14	14	14	14	8	8	8	8	15	15	4 4 2	7	6	15	15	15	15	15	15
the thief	4	6	6	6	20 6	6	6	1	28 28 29	5 8 8	1	6	1	1	22	24	4	18 23 23 1	1	6	6	13	14 27	19 28 6	18	6	6	6	6 6	6	6	28	12	28	12 28	30	30	30	30	30	30	30	21	26	26	26	20	27	20	27	6	1	1	1	1	28	28	12	28	28	20	6	17	6	20	20	6	20 31	20	17	16	16	16	16	16	29	29	28 29	29	20	NA	1	1	1	NA	27	27	20	6	6	15	15 20	32	6	4	4	26	26	6	6	6 10	4	4	4	6	6	6	26	NA	24	27	25	25	28	28	28	28	28	29 20	6	6	6	6	6	1	28	12	12 28	28	28	12 28	6	6	6	6	24	24	2 7 8 9	1	1 3 11	1	1	1	1	1	1
the thing	4	5	5	5	5	5	5	8	14 5	5	8 21	5	NA	19 19	24	12	3	NA	16 16 22	14	5	6 21	15	18 5	NA	5	17	5	5 5	5	5	18	18	18	18	26	26	26	26	26	26	26	26	15	15	15	15	15	15	15	7	25	9 10	25	9	18	18	18	18	18	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	15	28	28	28	15	15	15	5	18 5	5	5	5	5	5	3 4	4	15	15	5	5 7	5	1 4 6	1 4	3	5 7	5	5	15	NA	12	15	27	11	18	18	18	18	18	5	5	5	5	5	5	13 23	18	18	18	18	18	18	5	5	5	5	12	12	NA	2	8	NA	10	10	NA	29	8
the thread	1	11	11	11	11	11	11	5	12 22 25	6	10 14 15 26	1	NA	20	21	20	1	16 18	20	3	11	19	23	17	13	1	3 1	3	3 3	3	3	22	17	17	17	21	21	21	21	21	21	21	21	23	23	23	23	23	23	23	1	20	20	14 20	20	22	17	17	17	17	17	17 22	17	17	11	11	24	11	11	17	17	17	17 22	22	17	25	25	25	25	23	23	16	16	16	23	23	23	12 25	22	17	17 22	17	17	17	1 4	4	1 23	1 23	3 1	3 1	3 1	1	1	1	3 1	3 1	3 1	27	27	20	23	14	14	17	17	17	17	17	25	11	11	11	11	11	14	17	17	17	17	17	17	3	3	3	3	20	20	2 6 8 9	7	5	14	NA	14	14	14	14
the time	3	1 15	1	1	1	1 15	1	5	2 1 6 5 1	1 5 5	8 5 4	1	4	NA	16	NA	3	8 9 5 4 15	11 5 12 13 14	1 5 15	17	7	1 6 10 5 15	1 6 18	5 4	1	1 5	1	1 1	1	1	1	1	1	1	5	5	1 5	1 5	5	5	5	5	1	1	1	1	1	1	1	1	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1 5	1 5	1 5	3	3	3	1 5	1 5	1 5	1	1	NA	1	5	5	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	14	NA	1	5	4	5	5	5	5	5 12	NA
the tobacco	1	3	3	3	3	3	3	3	3 3	2	3	1	3	3	7	3	3	3 3	3	3	3	2	3	3	3	2	3 1	3	3 3	1	1	3	3	3	5 3	3	3	3	8	3	4	3	3	1	1	3	3	1	1	NA	1	3	3 3	3	3	3	5 3	3	3	3 3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2 3	3	3	1	3 1	1	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	3	3	3	6 3 9	3	3	3	3	5	3	3	3	3	3	3	3 3	3	3	3	3	3	3 3	3	1 3	3	2	3	3	3 1	1	3	3	5 3	3	3	3	1
the tongs	3	3 18	3 18	18	18	3 18	18	17	12	8	10	3	NA	11	16	17	3	6 17	10	6 3	3 18	14 19	6 12	15 3	17	6	6	3	3 3	3	3	15	NA	15	15	12	15	15	15	12	15	15	12	6	6	6	6	12	6	12	5	10	10	10	10	15	15	3	15	3	15 3	15	15 3	15 3	18	18	12	12	18	15	15	15	15	15	15	12	12	15	12	12	12	17	17	17	6	6 12	6	15	15	15	15	15	15	15	3	3	6	6	3	3	3	3	3	3	3 6	3	3	3	3	17	6	10	NA	15	15 3	3	15	3	12	18	3 18	18	18	3 18	10	NA	15	15	15	15	17	7	3	3	3	17	17	1 1 3 4	9	6 9	10	10	10	10	10	6
the towel	3	3	3	3	3	3	3	10	3	7 8	15 10	3	12	NA	14	NA	9	10	NA	13 17 18 18	3	10	3	3	10	3	3	3	3 3	3	3	3 10	3	3	3	10	10	10	NA	10	10	10	10	3	3	3	3	3	3	3	3	10	10	10	10	3	3	3	3	3	3	3	3	3 18	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	10	10	10	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	3	10	10	3	3	3	3	3	3	3	3	3	3	3	10	3	3	3	3	3	3	3	3	3	3	16	NA	3 2 3 5 6 11	NA	10 12	10	NA	10	10	10	NA
the trousers	5	5	5	5	5	5	5	19	5 5	1	15	5	NA	NA	17	10	5	11	5	12 5	5	9	7	5	11	16 5	16	5	16 16	16 5	16 5	18 5	18	5	18	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	5	5	5	5	5	18	5	5	5	13 5	5	5	5	5	5	5	5	10 5	5	5	5	5	5	5	5	5	5	5	5	7	7	8	11	11	7	7	7	5	5 5	5	5	5	5	5	5	5	7	7	5	5	5	5	5	5	5	5	5	7	7	10	7	NA	20	5	5	5	18 5	5	5	5	5	5	5	5	5	5	18 5	5	5	5	5	16	16	16	16	NA	NA	2 4 5 5	3	6	20	20	20	20	20	NA
the turnip	5	2	1 2	2	1	2	1	15	2	7 7	7	7	NA	NA	14	NA	7	NA	NA	2	2	13	NA	2	NA	2	9 2	2	2 2	2	2	2	2	6	2	1	1	1	NA	8	1	1	8	6	6	12	1	1	1	1	2	NA	NA	NA	NA	2	2	2	2	2	1	1	1	1	11	11	NA	6 2	NA	1 2	1	1	1	1	1	10	2	2	2	NA	NA	NA	NA	NA	1	1	1	2	2	2	1 2	1 2	2	2	4	4	1	1	NA	3	2	4	4	6	6 2	3	NA	2	2	7	1	NA	NA	2	2	2	2	2	2	1 2 6	1	1 2	1	1 2	NA	NA	6	NA	2	2	13 2	2	6	NA	2	7	7	7	NA	NA	NA	NA	NA	NA	NA	1
the voice	4	5	5	5	17	5	5	12	15	7	12	5	3	13	8	13	4	12 16 5	13	8 5 19	5	10	5	14 5	12	5	5	5	5 5	5	5	14 5	14	14	14	18	18	18	18	18	18	18	18	5	5	5	5	5	5	5	5	13	13	13	13	14	14	5	14 5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	11	5	15 5	15	5	5	12	12	12	5	5	5	15 5	5	5	5	5	5	5	4	4	5	5	5	5	5	4	4	4	5	5	5	5	5	13	5	13	13	14 5 5	5	5	5	5	15	9	5	5 20	5	9 5	13	5	5	5	5	14	5	5	5	5	5	13	13	6	1	2 3	13	13	13	13	13	5
the wall	1 8	20	20	20	20	20	20	9	20	4 6 6	11	3	9	11	15	11	8	18	11	17 21	20	16	13	20	19	3	3	3	3 3	3	3	20	20	20	20	12	12	12	10	12	10 12	12	10	3	3	3	13	13	13	13	3	11	11	11	11	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	13	13	19	19	19	13	13	13	20	20	20	20	20	20	20	1 8	1	1 3	3	3	3	1 5	1	1	1	3	3	3	1	14	11	13	11	11	20	20	20	20	20	20	20	20	20	20	20	11	20	20	20	20	20	20	3	3	3	3	11	11	6 6	2	9	11	11	11	11	11	11
the watermelon	3	9	9	9	9	9	9	3	8	1	3	3	NA	3	3	3	4	3	7	3	9	5	NA	7	3	3	5	5	3 3	3	3	7	7	7	7	6	6	6	6	6	6	6	6	3	3	3	3	3	3	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	3	9 3	3	3	3	7	7	7	7	7	7	8	8	8	8	3	3	5	3	3	3	3	3	8	7	7	7	7	7	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	3	7	7	7	7	7	8	9	9	9	9	9	NA	NA	7	7	7	7	7	3	3	3	3	3	3	1 2 5	NA	NA	3	3	3	3	3	3
the wedding	4	14	12 14	14	14	14	14	1	19	7 9 7	1	8	1	NA	11	1	4	1 10 16 10	1	8	14	17	2 8	18	1	8	8	8	8 8	8	8	18	18	18	18	15	15	15	15	15	15	15	15	2	2	2	2	2	2	2	8	1	1	1	1	18	18	18	18	18	18	18	18	18	8	8	NA	12 8	20	18	18	18	18	18	18	19	19	19	19	2	2	1	1	1	2	2	2	19	18	18	18	18	18	18	4	4	2	2	8	8	8	4	4	4	8	8	8	2	2	NA	2	13	13	18	18	18	18	18	19	14	14	14	14	14	1	18	18	18	18	18	18	8	8	8	8 8	16	16	3 5	6	1	1	NA	1	1	1	1
the week	3	2	2	2	6 2	2	2	1	2	4	1	2	1	7	3	7	3	1	7	8	2	9	2	2	1	2	2	2	2 9 2	2	2	2	NA	6 2	NA	8	8	8	8	8	8	8	8	2	2	2	2	2	2	2	2	7	7	7	7	2	6	2	2	6	2	2	NA	2	2	2	2	2 2	2	2	2 9	2	2	2	2	9	2	2	2	2	2	9	NA	1	2	2	2	2	2	2	2	2	NA	2	3	3	2	2	2	2	2	3	3	3	2	2	2	2	2	7	2	1	1	2	2	6 2	2	2	2	2	2	2	6 2	2	7	2	2	2	6	2	6	2	2	6	6	7	7	2	5	1	7	NA	7	7	7	10
the wheel	8	1	1	1	1	1	1	6	23	2	15 16 1	8	6	NA	24	1	3	14	18	17	1	20	12 1	1	11	1	1	1	1 1	8	8	23	23	23	23	22	22	22	22	22	22	22	22	8	8	8	21	21	21	21	7 8	18	18	18	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23	23	23	23	1	1	11	11	11	21	21	21	23	1	1	1	1	1	1	8	8	8	8	8	8 10	8	8	8	8	8	8 9	8	8	8	NA	1	19	19	1	1	1	1	1	23	1	1	1	1	1	13	1	1	1	1	1	1	1	1	1	1	NA	NA	4 8	5	6	24	24	24	24	24 1	NA
the whip	6 3	12	12	12	12	12	12	15	3	3 7	22	3 12 26	NA	13	28	23	9	27	NA	3	3 18	14 21	3	12	27	12	12 3	12	12 12	12	12	12	NA	12	12	16	16	16	16	16	16	20 27	16	25	25	25	3	3	3	3	3	13	13	13	13	12	12	12	12	12	12	12	12	12	3	3	3	3	3	12	12	12	12	12	12	3	3	3	3	3	NA	27	NA	27	3	3	3	3	12	12	12	12	12	12	3	3	25	25	3	3	3	4 3	3	3	3	3	3	3	3	23	18	NA	24	12	12	12	12	12	3	12	12	12	12	12	13	NA	12	12	12	12	17	NA	12	NA	12	23	23	1 2 3 5 8 10	NA	NA	13	13	NA	NA	13	29
the widow	3	25	25	25	25	25	25	5	6	1	5	2	5	5	13	23	3	5 19	5	18 2	25	9	10 15 25	8	5	2	2	2	2 2	2	2	12	12	12	12	16	16	16	16	16	16	16	16	22	22	22	17	17	17	17	2	5	5	5	5	12	12	12	12	7	7	7	7	7	25	11 20 21	25	25	25	7	7	7	7	7	7	6	6	6	6	25	25	NA	5	5	25	25	25	6	7	7	7	7	7	7	3	3	22	22	2	2	2	3	3	3	2	2	2	2	2	23 23	25	NA	5	14	12	12	7	7	6	25	25	25	25	25	5	12	12	12	NA	12	7	2	2	24	NA	23	23	4	5	5	5	5	5	5	5	5
the window	7	16	16	16	16	16	16	17	1	5 8	12	15 15 7	10	14	19	14	7	11	14	22	16	21	13	23 24	11	15 15 7	7	7	7 7	7	7	23	23	23	23	20	20	20	20	20	20	20	20	13	13	13	13	13	13	13	7	14	14	14	14	23	23	23	23	23	24	24	24	24	1	1	NA	1	1	24	24	24	24	24	24	1	1	1	1	13	13	11	11	11	13	13	13	16	24	24	24	24	24	24	7	7	13	13	7	7	7	7	7	2	7	7	7	13	13	14	13	14	14	23	23	23	23	23	1	16	16	16	16	16	14	23	23	23	23	23	23	15 15 7	7	7	NA	14	14	3 6 7 1	4	10	14	NA	14	14	14	25
the wine	11	3	3	3	3	3	3	11	3 3	5	7 8 3	3 10	11	8	3	3	11	11 8	NA	7 3	4	4	3	3	4	3	3 10	3	3 3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	11	11	3	3	3	3	3	11	11	11	3	3	3	3	3	3	3	NA	4	3	3	3	3	3	3	3	3	3	3	3	4	NA	3	3	3	3	3	3	3	3	3	7	3	1 2 6	3	11	12	4	4 3	4	13	3
the wing	11	14	14	14	14	14	14	4	19	5	7	11	NA	7	18	15	10	NA	15	11	14	21	11 6	17 19	NA	11	11	11	11 11	11	11	19	19	19	19	12	12	12	12	12	12	12	12	11	11	11	11	11	11	11	11	15	15	15	15	19	19	19	19	19	17	17	17	17	14	14	NA	14	14	17 19	19	19	19	17	19	16	16	16	16	20	20	13	13	13	11	11	11	20	17	17	19	19	17	17	11	11	11	11	11	11	11	11	11	11	11	11	11	NA	NA	15	20	15	15	19	19	19	19	19	19	14	14	14	14	14	15	19	19	19	19	19	19	11	11	11	NA	15	15	1 3 5 11 8 9 9	2	4	NA	18	18	18	19	21
the wolf	2	2	2	2	2	2	2	1	15	3	1	2	1	NA	10	NA	NA	1	1 16	9	2	11	12	2	1	7	2 7	7	7 7	7	7	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	12	12	12	12	2 7	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	13	15	15	13	12	12	1	1	1	12	12	12	15	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6 2	2	2	2	2	NA	17	NA	12	1	1	2	2	2	2	2	15	2	2	2	2	2	1	2	2	2	2	2	2	7	2 7	7	7	NA	NA	4 8	5	1	1	1	1	1	1	1
the work	6 7	16	16	16	16	16	16	3	20	1	3	4	3	22	11	19	6	4 10 4 3 26	24	4	16	23	16	14 20 27	3	4	4	4	4 4	4	4	20	20	20	20	9	15	9 15	15	15	15	15	15	4	4	4	21	21	21	21	4	24	24	24	24	20	20	20	20	20	20	20	20	20	16	NA	NA	16	16	20	20	20	20	20	20	17	17	17	17	16	16	3	3	3	16	16	16	17 20	20	20	20	20	20	20	7	7	4	4	4	4	4	7	7	7	4	4	4	4	4	NA	16	18	18	20	20	20	20	20	17	16	16	16	16	16	25	20	20	20	20	20	20	4	4	4	4	3	3	17	2	3	3	NA	3	25	25 3	3
the worm	2	25	33	33	33	25	33	1	27	3 3	16 25 30 31	8	NA	30	28	21	2	14 17 30 30 31	14 20 29 30	31	25	32	13 27	24 27	12	8	8	8	8 8 8	8	8	33	15	33	15	27	27	27	27	27	27	27	27	18	27	18	27	27	27	27	9	NA	NA	22	22	27	27	33	33	27	27 33	33	27 33	33	33	33	33	33	33	27 33	33	33	33	27	33	27	27	27	27	27	27	19	19	19	27	27	27	27	33	27	27 33	33	33	27	2	2	11	NA	NA	8 9	8	2	2	2	8 9	8 9	8	11	NA	21	27	14	14	33	27 33	27 33	27	15 27	27	33	33	33	33	33	NA	27	33	27	27	33	33	8	23	23	NA	21	21	3 3 4 5 6 6 10	27	1	14	NA	14 34	14	31	16 16
the year	5	9	9	9	9	9	2	3	9	1 4	11 4	2	3	12	4	12	5	10	12	2	9	6	NA	9	10	2	2 2	2	2 2	2	2	9	9	9	9	7	7	7	7	7	7	7	7	4	4	4	4	4	4	4	2	12	12	12	12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	4	4	10	10	10	4	4	4	9	9	9	9	9	9	9	5	5	4	4	2	2	2	5	5	5	2	2	2	8 4	NA	12	4	12	12	9	9	9	9	9	9	9	9	9	9	9	12	9	9	9	9	9	9	2	2	2	2	12	12	4	4	3	12	12	12	12	12	4
the clothing, or, clothes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30
the fairy, tale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
the fermented, drink	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
the shade, or, shadow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7