Concept	Concept nr.	List ID	Word	Stem	Set	Confirmed	Comment	Source	Mediator
the ant	1	17	č'ianč'vela	1					
the ant	1	97	č'ianč'vela	1					
the ant	1	8	hũca	2					
the ant	1	14	hũca	2					
the ant	1	141	hũca	2				Non loan	
the ant	1	139	moor	3					
the ant	1	68	NA	NA					
the ant	1	100	NA	NA					
the ant	1	109	NA	NA					
the ant	1	110	NA	NA					
the ant	1	11	namlah	4					
the ant	1	11	nammah	4					
the ant	1	52	qarışğa	5					
the ant	1	13	qarışqa	5					
the ant	1	26	qarışqa	5					
the ant	1	101	qarışqa	5					
the ant	1	102	qarışqa	5					
the ant	1	106	qarışqa	5					
the ant	1	107	qarışqa	5					
the ant	1	108	qarışqa	5					
the ant	1	133	qarışqa	5					
the ant	1	140	zimzu	6				Unidentified	
the ant	1	96	žinč'ela	1					
the ant	1	1	žinč'ola	1					
the ant	1	104	žinč'ola	1					
the ant	1	103	žionč'ela	1					
the ant	1	105	žionč'ela	1					
the ant	1	27	гаришкъа	5					
the ant	1	28	гаришкъа	5					
the ant	1	51	дзы1хцар	7					
the ant	1	23	дзыдза1хъ	8					
the ant	1	81	дзыдзах	8					
the ant	1	86	дзыдзах	8					
the ant	1	87	дзыдзах	8					
the ant	1	88	дзыдзах	8					
the ant	1	82	дзыдзахъ	8					
the ant	1	112	дзыдзахъ	8					
the ant	1	10	зибз	6					
the ant	1	89	зибз	6					
the ant	1	120	зибз	6					
the ant	1	78	зивз	6					
the ant	1	79	зивз	6					
the ant	1	24	зимз	6					
the ant	1	62	зимз	6					
the ant	1	63	зимз	6					
the ant	1	64	зимз	6					
the ant	1	65	зимз	6					
the ant	1	71	зимз	6					
the ant	1	72	зимз	6					
the ant	1	73	зимз	6					
the ant	1	74	зимз	6					
the ant	1	75	зимз	6					
the ant	1	76	зимз	6					
the ant	1	80	зимз	6					
the ant	1	90	зимз	6					
the ant	1	91	зимз	6					
the ant	1	92	зимз	6					
the ant	1	93	зимз	6					
the ant	1	95	зимз	6					
the ant	1	77	зимзак	6					
the ant	1	37	зимзар	6					
the ant	1	38	зимзар	6					
the ant	1	39	зимзар	6					
the ant	1	40	зимзар	6					
the ant	1	41	зимзар	6					
the ant	1	42	зимзар	6					
the ant	1	43	зимзар	6					
the ant	1	44	зимзар	6					
the ant	1	94	зимс	6					
the ant	1	15	зингат	9					
the ant	1	35	имимай	10					
the ant	1	126	к1к1ара	11					
the ant	1	136	карешпа	12					
the ant	1	114	ККари	11					
the ant	1	98	къа1ришгъа1	5					
the ant	1	99	къаришкъа	5					
the ant	1	20	къомурсгъа	13					
the ant	1	111	лъанц1	14					
the ant	1	138	лъанц1и	14					
the ant	1	16	лъанц1ц1и	14					
the ant	1	137	лъанц1ц1и	14					
the ant	1	19	лъарц1ц1е	14					
the ant	1	53	лъарц1ц1е	14					
the ant	1	54	лъарц1ц1е	14					
the ant	1	55	лъарц1ц1е	14					
the ant	1	56	лъарц1ц1е	14					
the ant	1	58	мизмиз	15					
the ant	1	22	муравей	16					
the ant	1	25	РЕЦÉНЙО	17					
the ant	1	83	РЕЦÉНЙО	17					
the ant	1	84	РЕЦÉНЙО	17					
the ant	1	85	РЕЦÉНЙО	17					
the ant	1	18	рецен	18					
the ant	1	45	симсири	6					
the ant	1	46	симсири	6					
the ant	1	47	симсири	6					
the ant	1	9	танц1ц1а	14					
the ant	1	29	хъаришхъа	5					
the ant	1	29	хъаришхъа	5					
the ant	1	31	хъаришхъа	5					
the ant	1	32	хъаришхъа	5					
the ant	1	134	хъаришхъа	5					
the ant	1	135	хъаришхъа	5					
the ant	1	118	ц1имиц	19					
the ant	1	119	ц1имиц	19					
the ant	1	132	ц1имиц	19					
the ant	1	131	ц1имиц подтвердил	19					
the ant	1	60	ц1имиц1	19					
the ant	1	115	ц1имиц1	19					
the ant	1	127	ц1имиц1	19					
the ant	1	128	ц1имиц1	19					
the ant	1	33	ц1имиц1и	19					
the ant	1	34	ц1имиц1и	19					
the ant	1	36	ц1имиц1и	19					
the ant	1	57	ц1имиц1и	19					
the ant	1	117	ц1имиц1и	19					
the ant	1	61	ц1имици	19					
the ant	1	116	ц1имицци	19					
the ant	1	130	ц1имицци	19					
the ant	1	113	ц1уц1ра	20					
the ant	1	12	цIунцIра	20					
the ant	1	129	цlимиц	19					
the ant	1	49	цахцар	21					
the ant	1	66	цвез	22					
the ant	1	67	цвез	22					
the ant	1	69	цвез	22					
the ant	1	70	цвез	22					
the ant	1	3	цег	23					
the ant	1	4	цег	23					
the ant	1	6	цег	23					
the ant	1	121	цег	23					
the ant	1	123	цег	23					
the ant	1	124	цег	23					
the ant	1	125	цег	23					
the ant	1	7	цегв	23					
the ant	1	21	цегв	23					
the ant	1	122	цегв	23					
the ant	1	2	цек	23					
the ant	1	5	цеквуьр	23					
the ant	1	59	цимици	19					
the ant	1	48	цыхцар	21					
the ant	1	50	цыцах	21					
the arch	2	90	(полу-)чарх	1					
the arch	2	131	*чарх	1					
the arch	2	1	arka	2					
the arch	2	96	arka	2					
the arch	2	97	arka	2					
the arch	2	100	arka	2					
the arch	2	102	arka	2					
the arch	2	103	arka	2					
the arch	2	104	arka	2					
the arch	2	105	arka	2					
the arch	2	106	arka	2					
the arch	2	108	arka	2					
the arch	2	14	k’amur	3					
the arch	2	141	k’amur	3				Georgian	
the arch	2	140	kummur	3				Avar	
the arch	2	3	NA	NA					
the arch	2	7	NA	NA					
the arch	2	21	NA	NA					
the arch	2	42	NA	NA					
the arch	2	43	NA	NA					
the arch	2	46	NA	NA					
the arch	2	59	NA	NA					
the arch	2	63	NA	NA					
the arch	2	64	NA	NA					
the arch	2	70	NA	NA					
the arch	2	73	NA	NA					
the arch	2	75	NA	NA					
the arch	2	113	NA	NA					
the arch	2	115	NA	NA					
the arch	2	116	NA	NA					
the arch	2	117	NA	NA					
the arch	2	122	NA	NA					
the arch	2	127	NA	NA					
the arch	2	129	NA	NA					
the arch	2	130	NA	NA					
the arch	2	11	qaus	4					
the arch	2	13	tağ	5					
the arch	2	52	tağ	5					
the arch	2	101	tağ	5					
the arch	2	106	tağ	5					
the arch	2	107	tağ	5					
the arch	2	139	tagh	5					
the arch	2	103	taʁ	5					
the arch	2	1	taʁ podtv	5					
the arch	2	104	taʁ podtv	5					
the arch	2	17	taʁi	5					
the arch	2	97	taʁi	5					
the arch	2	96	taʁi ok	5					
the arch	2	23	ад	6					
the arch	2	126	акъва	7					
the arch	2	2	арка	2					
the arch	2	4	арка	2					
the arch	2	6	арка	2					
the arch	2	8	арка	2					
the arch	2	22	арка	2					
the arch	2	26	арка	2					
the arch	2	27	арка	2					
the arch	2	28	арка	2					
the arch	2	29	арка	2					
the arch	2	29	арка	2					
the arch	2	31	арка	2					
the arch	2	32	арка	2					
the arch	2	34	арка	2					
the arch	2	35	арка	2					
the arch	2	36	арка	2					
the arch	2	37	арка	2					
the arch	2	39	арка	2					
the arch	2	40	арка	2					
the arch	2	44	арка	2					
the arch	2	47	арка	2					
the arch	2	49	арка	2					
the arch	2	57	арка	2					
the arch	2	58	арка	2					
the arch	2	60	арка	2					
the arch	2	61	арка	2					
the arch	2	68	арка	2					
the arch	2	71	арка	2					
the arch	2	74	арка	2					
the arch	2	76	арка	2					
the arch	2	83	арка	2					
the arch	2	118	арка	2					
the arch	2	121	арка	2					
the arch	2	123	арка	2					
the arch	2	124	арка	2					
the arch	2	125	арка	2					
the arch	2	128	арка	2					
the arch	2	131	арка	2					
the arch	2	134	арка	2					
the arch	2	135	арка	2					
the arch	2	136	арка	2					
the arch	2	38	арсав	8					
the arch	2	41	арсав	8					
the arch	2	86	арх	9					
the arch	2	33	арцаба	10					
the arch	2	72	ахал	11					
the arch	2	54	буквально	NA			мусор		
the arch	2	54	гургин	12					
the arch	2	12	гъапу	13					
the arch	2	20	гюмез	14					
the arch	2	84	к1аму	3					
the arch	2	85	к1аму	3					
the arch	2	114	к1аму	3					
the arch	2	19	к1амур	3					
the arch	2	53	к1амур	3					
the arch	2	54	к1амур	3					
the arch	2	54	к1амур	3					
the arch	2	55	к1амур	3					
the arch	2	9	к1к1амур	3					
the arch	2	16	к1к1амур	3					
the arch	2	137	к1к1амур	3					
the arch	2	138	к1к1амур	3					
the arch	2	111	к1к1ара	3					
the arch	2	25	КIÁМУ2	3					
the arch	2	12	кIамури	3					
the arch	2	18	кIамури	3					
the arch	2	54	круглый	NA			мусор		
the arch	2	56	кьиба	15					
the arch	2	77	мо???	NA			мусор		
the arch	2	15	нартол	16					
the arch	2	98	не	NA			мусор		
the arch	2	99	нет	NA			мусор		
the arch	2	98	помнит	NA			мусор		
the arch	2	56	сорер	17					
the arch	2	45	тагъ	5					
the arch	2	48	тагъ	5					
the arch	2	51	тагъ	5					
the arch	2	109	тагъ	5					
the arch	2	110	тагъ	5					
the arch	2	132	тагъ	5					
the arch	2	27	тагь	5					
the arch	2	5	чарх	1					
the arch	2	10	чарх	1					
the arch	2	23	чарх	1					
the arch	2	24	чарх	1					
the arch	2	50	чарх	1					
the arch	2	62	чарх	1					
the arch	2	65	чарх	1					
the arch	2	66	чарх	1					
the arch	2	67	чарх	1					
the arch	2	69	чарх	1					
the arch	2	78	чарх	1					
the arch	2	79	чарх	1					
the arch	2	80	чарх	1					
the arch	2	81	чарх	1					
the arch	2	82	чарх	1					
the arch	2	87	чарх	1					
the arch	2	88	чарх	1					
the arch	2	89	чарх	1					
the arch	2	91	чарх	1					
the arch	2	92	чарх	1					
the arch	2	93	чарх	1					
the arch	2	94	чарх	1					
the arch	2	95	чарх	1					
the arch	2	112	чарх	1					
the arch	2	120	чарх	1					
the arch	2	119	чарх п	1					
the arch	2	133	чербен	18					
the axe/ax	3	13	balta	1					
the axe/ax	3	26	balta	1					
the axe/ax	3	52	balta	1					
the axe/ax	3	100	balta	1					
the axe/ax	3	101	balta	1					
the axe/ax	3	102	balta	1					
the axe/ax	3	106	balta	1					
the axe/ax	3	107	balta	1					
the axe/ax	3	108	balta	1					
the axe/ax	3	133	balta	1					
the axe/ax	3	11	fa's	2					
the axe/ax	3	139	fas	2					
the axe/ax	3	9	NA	NA					
the axe/ax	3	16	NA	NA					
the axe/ax	3	111	NA	NA					
the axe/ax	3	138	NA	NA					
the axe/ax	3	139	nachakh	3					
the axe/ax	3	14	õg	4					
the axe/ax	3	141	õg	4				Non loan	
the axe/ax	3	96	suldi	5					
the axe/ax	3	11	tabar	6					
the axe/ax	3	139	tabar	6					
the axe/ax	3	140	tabərzan	6				Russian	
the axe/ax	3	104	tapor	6					
the axe/ax	3	103	tapori	6					
the axe/ax	3	105	tapori	6					
the axe/ax	3	1	tsuld	5					
the axe/ax	3	103	tsuld podtv	5					
the axe/ax	3	104	tsuldi	5					
the axe/ax	3	105	tsuldi - big axe	5					
the axe/ax	3	17	tsuli	5					
the axe/ax	3	97	tsuli	5					
the axe/ax	3	110	yaq	6					
the axe/ax	3	139	zin	7					
the axe/ax	3	113	ажите	8					
the axe/ax	3	114	ажите	8					
the axe/ax	3	19	аНжито	8					
the axe/ax	3	55	аНжито	8					
the axe/ax	3	56	аНжито	8					
the axe/ax	3	54	анжито(бо)	8					
the axe/ax	3	53	анжитобо	8					
the axe/ax	3	20	балта	1					
the axe/ax	3	23	балта	1					
the axe/ax	3	27	балта	1					
the axe/ax	3	28	балта	1					
the axe/ax	3	29	балта	1					
the axe/ax	3	29	балта	1					
the axe/ax	3	31	балта	1					
the axe/ax	3	32	балта	1					
the axe/ax	3	48	балта	1					
the axe/ax	3	49	балта	1					
the axe/ax	3	50	балта	1					
the axe/ax	3	51	балта	1					
the axe/ax	3	81	балта	1					
the axe/ax	3	82	балта	1					
the axe/ax	3	86	балта	1					
the axe/ax	3	87	балта	1					
the axe/ax	3	88	балта	1					
the axe/ax	3	112	балта	1					
the axe/ax	3	134	балта	1					
the axe/ax	3	135	балта	1					
the axe/ax	3	136	балта	1					
the axe/ax	3	137	балта	1					
the axe/ax	3	37	беретта	9					
the axe/ax	3	38	беретта	9					
the axe/ax	3	39	беретта	9					
the axe/ax	3	40	беретта	9					
the axe/ax	3	41	беретта	9					
the axe/ax	3	42	беретта	9					
the axe/ax	3	43	беретта	9					
the axe/ax	3	44	беретта	9					
the axe/ax	3	126	г1анжит	8					
the axe/ax	3	12	гIащтIи	10					
the axe/ax	3	25	ГIО	11					
the axe/ax	3	83	ГIО	11					
the axe/ax	3	84	ГIО	11					
the axe/ax	3	85	ГIО	11					
the axe/ax	3	15	диг	12					
the axe/ax	3	62	ек1	13					
the axe/ax	3	63	ек1	13					
the axe/ax	3	64	ек1	13					
the axe/ax	3	90	ек1в	13					
the axe/ax	3	91	ек1в	13					
the axe/ax	3	24	екIв	13					
the axe/ax	3	65	екIв	13					
the axe/ax	3	18	ишину	14					
the axe/ax	3	95	йик1	13					
the axe/ax	3	66	наджах	3					
the axe/ax	3	67	наджах	3					
the axe/ax	3	70	наджах	3					
the axe/ax	3	68	нажах	3					
the axe/ax	3	69	нажах	3					
the axe/ax	3	18	ог	4					
the axe/ax	3	8	оНг	4					
the axe/ax	3	22	топор	6					
the axe/ax	3	63	юк1	13					
the axe/ax	3	71	юк1	13					
the axe/ax	3	72	юк1	13					
the axe/ax	3	73	юк1	13					
the axe/ax	3	74	юк1	13					
the axe/ax	3	75	юк1	13					
the axe/ax	3	93	юк1	13					
the axe/ax	3	94	юк1	13					
the axe/ax	3	92	юк1в	13					
the axe/ax	3	76	юкв	13					
the axe/ax	3	2	як1	13					
the axe/ax	3	3	як1	13					
the axe/ax	3	4	як1	13					
the axe/ax	3	5	як1	13					
the axe/ax	3	6	як1	13					
the axe/ax	3	35	як1	13					
the axe/ax	3	57	як1	13					
the axe/ax	3	58	як1	13					
the axe/ax	3	60	як1	13					
the axe/ax	3	115	як1	13					
the axe/ax	3	116	як1	13					
the axe/ax	3	117	як1	13					
the axe/ax	3	121	як1	13					
the axe/ax	3	122	як1	13					
the axe/ax	3	124	як1	13					
the axe/ax	3	125	як1	13					
the axe/ax	3	127	як1	13					
the axe/ax	3	128	як1	13					
the axe/ax	3	130	як1	13					
the axe/ax	3	131	як1	13					
the axe/ax	3	33	як1а	13					
the axe/ax	3	34	як1а	13					
the axe/ax	3	36	як1а	13					
the axe/ax	3	7	як1в	13					
the axe/ax	3	21	як1в	13					
the axe/ax	3	45	як1в	13					
the axe/ax	3	46	як1в	13					
the axe/ax	3	47	як1в	13					
the axe/ax	3	78	як1в	13					
the axe/ax	3	79	як1в	13					
the axe/ax	3	80	як1в	13					
the axe/ax	3	89	як1в	13					
the axe/ax	3	98	як1в	13					
the axe/ax	3	99	як1в	13					
the axe/ax	3	123	як1в	13					
the axe/ax	3	10	якIв	13					
the axe/ax	3	109	якIв	13					
the axe/ax	3	120	якIв	13					
the axe/ax	3	129	якlв	13					
the axe/ax	3	59	якlу	13					
the axe/ax	3	77	якв	13					
the axe/ax	3	118	якьв	13					
the axe/ax	3	119	якьв	13					
the axe/ax	3	132	якьв	13					
the axe/ax	3	61	якьу	13					
the ball	4	1	burti	1					
the ball	4	17	burti	1					
the ball	4	96	burti	1					
the ball	4	97	burti	1					
the ball	4	103	burti	1					
the ball	4	104	burti	1					
the ball	4	105	burti	1					
the ball	4	140	dump	2				Unidentified	
the ball	4	11	kura	3					
the ball	4	14	NA	NA					
the ball	4	85	NA	NA					
the ball	4	141	šar	4				Russian	
the ball	4	139	toop	2					
the ball	4	139	toop-bazee	2					
the ball	4	52	top	2					
the ball	4	100	top	2					
the ball	4	101	top	2					
the ball	4	102	top	2					
the ball	4	104	top	2					
the ball	4	106	top	2					
the ball	4	107	top	2					
the ball	4	108	top	2					
the ball	4	15	буьрка	5					
the ball	4	10	гирген	6					
the ball	4	113	гужила	7					
the ball	4	114	гужила	7					
the ball	4	9	к1ак1у	8					
the ball	4	84	к1ох1ло	9					
the ball	4	83	к1ох1о	9					
the ball	4	18	кIохIло	9					
the ball	4	8	кирка	10					
the ball	4	22	мяч	11					
the ball	4	37	мяч	11					
the ball	4	38	мяч	11					
the ball	4	39	мяч	11					
the ball	4	40	мяч	11					
the ball	4	54	со-соло	12					
the ball	4	19	соло-соло	12					
the ball	4	53	соло-соло	12					
the ball	4	54	соло-соло	12					
the ball	4	55	соло-соло	12					
the ball	4	56	соло-соло	12					
the ball	4	13	топ	2					
the ball	4	20	топ	2					
the ball	4	26	топ	2					
the ball	4	45	топ	2					
the ball	4	46	топ	2					
the ball	4	47	топ	2					
the ball	4	98	топ	2					
the ball	4	99	топ	2					
